,day,hour,waves_size,wind_speed,wind_direction
0,Vendredi 09 Janvier,01:00,2.9 - 4.3,\n52\n\n,Orientation vent Ouest
1,Vendredi 09 Janvier,02:00,3.1 - 4.6,\n54\n\n,Orientation vent Ouest
2,Vendredi 09 Janvier,03:00,3.3 - 5.0,\n56\n\n,Orientation vent Ouest
3,Vendredi 09 Janvier,04:00,3.5 - 5.3,\n56\n\n,Orientation vent Ouest
4,Vendredi 09 Janvier,05:00,3.7 - 5.6,\n55\n\n,Orientation vent Ouest
5,Vendredi 09 Janvier,06:00,3.9 - 5.8,\n52\n\n,Orientation vent Ouest
6,Vendredi 09 Janvier,07:00,4.1 - 6.1,\n52\n\n,Orientation vent Ouest
7,Vendredi 09 Janvier,08:00,4.2 - 6.3,\n55\n\n,Orientation vent Ouest
8,Vendredi 09 Janvier,09:00,4.3 - 6.5,\n59\n\n,Orientation vent Ouest
9,Vendredi 09 Janvier,10:00,4.4 - 6.6,\n63\n\n,Orientation vent Ouest
10,Vendredi 09 Janvier,11:00,4.7 - 7.0,\n66\n\n,Orientation vent Ouest
11,Vendredi 09 Janvier,12:00,4.9 - 7.4,\n67\n\n,Orientation vent Ouest
12,Vendredi 09 Janvier,13:00,5.2 - 7.7,\n68\n\n,Orientation vent Ouest
13,Vendredi 09 Janvier,14:00,5.2 - 7.8,\n66\n\n,Orientation vent Ouest Nord Ouest
14,Vendredi 09 Janvier,15:00,5.3 - 7.9,\n63\n\n,Orientation vent Ouest Nord Ouest
15,Vendredi 09 Janvier,16:00,5.3 - 8.0,\n61\n\n,Orientation vent Ouest Nord Ouest
16,Vendredi 09 Janvier,17:00,5.1 - 7.7,\n61\n\n,Orientation vent Ouest Nord Ouest
17,Vendredi 09 Janvier,18:00,4.9 - 7.4,\n61\n\n,Orientation vent Ouest Nord Ouest
18,Vendredi 09 Janvier,19:00,4.7 - 7.1,\n60\n\n,Orientation vent Ouest Nord Ouest
19,Vendredi 09 Janvier,20:00,4.6 - 6.8,\n57\n\n,Orientation vent Ouest Nord Ouest
20,Vendredi 09 Janvier,21:00,4.4 - 6.6,\n54\n\n,Orientation vent Ouest Nord Ouest
21,Vendredi 09 Janvier,22:00,4.3 - 6.4,\n52\n\n,Orientation vent Ouest Nord Ouest
22,Vendredi 09 Janvier,23:00,4.2 - 6.3,\n52\n\n,Orientation vent Ouest Nord Ouest
23,Samedi 10 Janvier,00:00,4.1 - 6.1,\n53\n\n,Orientation vent Ouest Nord Ouest
24,Samedi 10 Janvier,01:00,4.0 - 6.0,\n53\n\n,Orientation vent Ouest Nord Ouest
25,Samedi 10 Janvier,02:00,4.0 - 5.9,\n54\n\n,Orientation vent Ouest Nord Ouest
26,Samedi 10 Janvier,03:00,4.0 - 5.9,\n54\n\n,Orientation vent Ouest Nord Ouest
27,Samedi 10 Janvier,04:00,3.9 - 5.9,\n54\n\n,Orientation vent Ouest Nord Ouest
28,Samedi 10 Janvier,05:00,4.0 - 6.0,\n56\n\n,Orientation vent Ouest Nord Ouest
29,Samedi 10 Janvier,06:00,4.0 - 6.0,\n58\n\n,Orientation vent Ouest Nord Ouest
30,Samedi 10 Janvier,07:00,4.0 - 6.0,\n57\n\n,Orientation vent Ouest Nord Ouest
31,Samedi 10 Janvier,08:00,3.9 - 5.9,\n49\n\n,Orientation vent Ouest Nord Ouest
32,Samedi 10 Janvier,09:00,3.8 - 5.7,\n40\n\n,Orientation vent Nord Ouest
33,Samedi 10 Janvier,10:00,3.7 - 5.5,\n34\n\n,Orientation vent Nord Ouest
34,Samedi 10 Janvier,11:00,3.6 - 5.4,\n32\n\n,Orientation vent Nord Ouest
35,Samedi 10 Janvier,12:00,3.5 - 5.2,\n33\n\n,Orientation vent Nord Ouest
36,Samedi 10 Janvier,13:00,3.3 - 5.0,\n34\n\n,Orientation vent Nord Ouest
37,Samedi 10 Janvier,14:00,3.3 - 4.9,\n36\n\n,Orientation vent Ouest Nord Ouest
38,Samedi 10 Janvier,15:00,3.2 - 4.9,\n38\n\n,Orientation vent Nord Ouest
39,Samedi 10 Janvier,16:00,3.2 - 4.8,\n40\n\n,Orientation vent Nord Ouest
40,Samedi 10 Janvier,17:00,3.2 - 4.8,\n39\n\n,Orientation vent Nord Ouest
41,Samedi 10 Janvier,18:00,3.2 - 4.7,\n37\n\n,Orientation vent Nord Ouest
42,Samedi 10 Janvier,19:00,3.1 - 4.7,\n34\n\n,Orientation vent Nord Ouest
43,Samedi 10 Janvier,20:00,3.1 - 4.6,\n30\n\n,Orientation vent Nord Ouest
44,Samedi 10 Janvier,21:00,3.1 - 4.6,\n26\n\n,Orientation vent Nord Ouest
45,Samedi 10 Janvier,22:00,3.0 - 4.5,\n21\n\n,Orientation vent Nord Ouest
46,Samedi 10 Janvier,23:00,2.9 - 4.4,\n17\n\n,Orientation vent Nord Ouest
47,Dimanche 11 Janvier,00:00,2.9 - 4.3,\n13\n\n,Orientation vent Nord Ouest
48,Dimanche 11 Janvier,01:00,2.8 - 4.2,\n9\n\n,Orientation vent Nord Ouest
49,Dimanche 11 Janvier,02:00,2.7 - 4.1,\n5\n\n,Orientation vent Ouest Nord Ouest
50,Dimanche 11 Janvier,03:00,2.6 - 3.9,\n5\n\n,Orientation vent Sud Ouest
51,Dimanche 11 Janvier,04:00,2.5 - 3.8,\n9\n\n,Orientation vent Sud Ouest
52,Dimanche 11 Janvier,05:00,2.5 - 3.7,\n12\n\n,Orientation vent Sud Ouest
53,Dimanche 11 Janvier,06:00,2.4 - 3.6,\n15\n\n,Orientation vent Sud Ouest
54,Dimanche 11 Janvier,07:00,2.3 - 3.5,\n16\n\n,Orientation vent Sud Ouest
55,Dimanche 11 Janvier,08:00,2.2 - 3.3,\n15\n\n,Orientation vent Sud
56,Dimanche 11 Janvier,09:00,2.1 - 3.2,\n15\n\n,Orientation vent Sud Est
57,Dimanche 11 Janvier,10:00,2.0 - 3.1,\n15\n\n,Orientation vent Sud Est
58,Dimanche 11 Janvier,11:00,2.0 - 3.0,\n14\n\n,Orientation vent Sud Est
59,Dimanche 11 Janvier,12:00,1.9 - 2.8,\n13\n\n,Orientation vent Sud Est
60,Dimanche 11 Janvier,13:00,1.8 - 2.7,\n12\n\n,Orientation vent Sud Est
61,Dimanche 11 Janvier,14:00,1.7 - 2.5,\n11\n\n,Orientation vent Sud Est
62,Dimanche 11 Janvier,15:00,1.6 - 2.4,\n11\n\n,Orientation vent Sud Est
63,Dimanche 11 Janvier,16:00,1.5 - 2.3,\n11\n\n,Orientation vent Sud Est
64,Dimanche 11 Janvier,17:00,1.4 - 2.2,\n11\n\n,Orientation vent Sud Est
65,Dimanche 11 Janvier,18:00,1.4 - 2.1,\n11\n\n,Orientation vent Sud Est
66,Dimanche 11 Janvier,19:00,1.3 - 1.9,\n12\n\n,Orientation vent Sud Est
67,Dimanche 11 Janvier,20:00,1.2 - 1.9,\n15\n\n,Orientation vent Sud
68,Dimanche 11 Janvier,21:00,1.2 - 1.8,\n18\n\n,Orientation vent Sud
69,Dimanche 11 Janvier,22:00,1.2 - 1.7,\n22\n\n,Orientation vent Sud Ouest
70,Dimanche 11 Janvier,23:00,1.1 - 1.7,\n25\n\n,Orientation vent Sud Ouest
71,Lundi 12 Janvier,00:00,1.1 - 1.7,\n27\n\n,Orientation vent Sud Ouest
72,Lundi 12 Janvier,01:00,1.1 - 1.6,\n28\n\n,Orientation vent Sud Ouest
73,Lundi 12 Janvier,02:00,1.1 - 1.6,\n30\n\n,Orientation vent Sud Ouest
74,Lundi 12 Janvier,03:00,1.1 - 1.6,\n31\n\n,Orientation vent Sud Ouest
75,Lundi 12 Janvier,04:00,1.1 - 1.6,\n31\n\n,Orientation vent Sud Ouest
76,Lundi 12 Janvier,05:00,1.1 - 1.7,\n30\n\n,Orientation vent Sud Ouest
77,Lundi 12 Janvier,06:00,1.2 - 1.8,\n30\n\n,Orientation vent Sud
78,Lundi 12 Janvier,07:00,1.2 - 1.8,\n30\n\n,Orientation vent Sud
79,Lundi 12 Janvier,08:00,1.3 - 1.9,\n31\n\n,Orientation vent Sud
80,Lundi 12 Janvier,09:00,1.3 - 1.9,\n34\n\n,Orientation vent Sud Ouest
81,Lundi 12 Janvier,10:00,1.3 - 2.0,\n36\n\n,Orientation vent Sud Ouest
82,Lundi 12 Janvier,11:00,1.4 - 2.1,\n37\n\n,Orientation vent Sud Ouest
83,Lundi 12 Janvier,12:00,1.5 - 2.2,\n37\n\n,Orientation vent Sud Ouest
84,Lundi 12 Janvier,13:00,1.5 - 2.3,\n37\n\n,Orientation vent Sud Ouest
85,Lundi 12 Janvier,14:00,1.6 - 2.4,\n35\n\n,Orientation vent Sud Ouest
86,Lundi 12 Janvier,15:00,1.6 - 2.4,\n33\n\n,Orientation vent Sud Ouest
87,Lundi 12 Janvier,16:00,1.7 - 2.5,\n30\n\n,Orientation vent Sud Ouest
88,Lundi 12 Janvier,17:00,1.7 - 2.6,\n28\n\n,Orientation vent Sud Ouest
89,Lundi 12 Janvier,18:00,1.8 - 2.7,\n26\n\n,Orientation vent Sud
90,Lundi 12 Janvier,19:00,1.8 - 2.7,\n24\n\n,Orientation vent Sud
91,Lundi 12 Janvier,20:00,1.8 - 2.7,\n21\n\n,Orientation vent Sud
92,Lundi 12 Janvier,21:00,1.8 - 2.7,\n18\n\n,Orientation vent Sud Est
93,Lundi 12 Janvier,22:00,1.8 - 2.7,\n17\n\n,Orientation vent Sud Est
94,Lundi 12 Janvier,23:00,1.8 - 2.6,\n16\n\n,Orientation vent Sud Est
95,Mardi 13 Janvier,00:00,1.7 - 2.6,\n17\n\n,Orientation vent Sud Est
96,Mardi 13 Janvier,01:00,1.7 - 2.5,\n17\n\n,Orientation vent Sud Est
97,Mardi 13 Janvier,02:00,1.7 - 2.5,\n18\n\n,Orientation vent Sud Est
98,Mardi 13 Janvier,03:00,1.6 - 2.5,\n18\n\n,Orientation vent Sud Est
99,Mardi 13 Janvier,04:00,1.6 - 2.4,\n18\n\n,Orientation vent Sud Est
100,Mardi 13 Janvier,05:00,1.6 - 2.4,\n15\n\n,Orientation vent Sud Est
101,Mardi 13 Janvier,06:00,1.5 - 2.3,\n11\n\n,Orientation vent Sud Est
102,Mardi 13 Janvier,07:00,1.5 - 2.2,\n10\n\n,Orientation vent Est Sud Est
103,Mardi 13 Janvier,08:00,1.5 - 2.2,\n12\n\n,Orientation vent Est Sud Est
104,Mardi 13 Janvier,09:00,1.5 - 2.2,\n15\n\n,Orientation vent Est Sud Est
105,Mardi 13 Janvier,10:00,1.5 - 2.2,\n17\n\n,Orientation vent Est Sud Est
106,Mardi 13 Janvier,11:00,1.5 - 2.3,\n17\n\n,Orientation vent Sud Est
107,Mardi 13 Janvier,12:00,1.5 - 2.3,\n20\n\n,Orientation vent Sud Est
108,Mardi 13 Janvier,13:00,1.6 - 2.4,\n25\n\n,Orientation vent Sud
109,Mardi 13 Janvier,14:00,1.6 - 2.4,\n29\n\n,Orientation vent Sud
110,Mardi 13 Janvier,15:00,1.6 - 2.3,\n30\n\n,Orientation vent Sud
111,Mardi 13 Janvier,16:00,1.6 - 2.3,\n31\n\n,Orientation vent Sud
112,Mardi 13 Janvier,17:00,1.5 - 2.3,\n29\n\n,Orientation vent Sud
113,Mardi 13 Janvier,18:00,1.5 - 2.3,\n27\n\n,Orientation vent Sud
114,Mardi 13 Janvier,19:00,1.5 - 2.3,\n25\n\n,Orientation vent Sud
115,Mardi 13 Janvier,20:00,1.5 - 2.3,\n23\n\n,Orientation vent Sud
116,Mardi 13 Janvier,21:00,1.5 - 2.3,\n22\n\n,Orientation vent Sud
117,Mardi 13 Janvier,22:00,1.6 - 2.3,\n22\n\n,Orientation vent Sud
118,Mardi 13 Janvier,23:00,1.6 - 2.4,\n26\n\n,Orientation vent Sud
119,Mercredi 14 Janvier,00:00,1.6 - 2.4,\n31\n\n,Orientation vent Sud
120,Mercredi 14 Janvier,01:00,1.6 - 2.4,\n34\n\n,Orientation vent Sud
121,Mercredi 14 Janvier,02:00,1.6 - 2.5,\n33\n\n,Orientation vent Sud
122,Mercredi 14 Janvier,03:00,1.7 - 2.5,\n31\n\n,Orientation vent Sud Ouest
123,Mercredi 14 Janvier,04:00,1.7 - 2.5,\n29\n\n,Orientation vent Sud Ouest
124,Mercredi 14 Janvier,05:00,1.7 - 2.6,\n28\n\n,Orientation vent Sud Ouest
125,Mercredi 14 Janvier,06:00,1.7 - 2.6,\n27\n\n,Orientation vent Sud Ouest
126,Mercredi 14 Janvier,07:00,1.7 - 2.6,\n26\n\n,Orientation vent Sud Ouest
127,Mercredi 14 Janvier,08:00,1.8 - 2.6,\n25\n\n,Orientation vent Sud Ouest
128,Mercredi 14 Janvier,09:00,1.8 - 2.7,\n23\n\n,Orientation vent Sud Ouest
129,Mercredi 14 Janvier,10:00,1.8 - 2.7,\n22\n\n,Orientation vent Sud Ouest
130,Mercredi 14 Janvier,11:00,1.8 - 2.7,\n20\n\n,Orientation vent Sud Ouest
131,Mercredi 14 Janvier,12:00,1.8 - 2.7,\n19\n\n,Orientation vent Ouest Sud Ouest
132,Mercredi 14 Janvier,13:00,1.8 - 2.7,\n19\n\n,Orientation vent Ouest Sud Ouest
133,Mercredi 14 Janvier,14:00,1.8 - 2.8,\n20\n\n,Orientation vent Ouest Sud Ouest
134,Mercredi 14 Janvier,15:00,1.9 - 2.8,\n22\n\n,Orientation vent Ouest Sud Ouest
135,Mercredi 14 Janvier,16:00,1.9 - 2.8,\n23\n\n,Orientation vent Ouest Sud Ouest
136,Mercredi 14 Janvier,17:00,1.9 - 2.8,\n21\n\n,Orientation vent Ouest
137,Mercredi 14 Janvier,18:00,1.9 - 2.8,\n17\n\n,Orientation vent Ouest
138,Mercredi 14 Janvier,19:00,1.9 - 2.8,\n14\n\n,Orientation vent Ouest
139,Mercredi 14 Janvier,20:00,1.9 - 2.8,\n13\n\n,Orientation vent Ouest
140,Mercredi 14 Janvier,21:00,1.9 - 2.8,\n12\n\n,Orientation vent Ouest Sud Ouest
141,Mercredi 14 Janvier,22:00,1.8 - 2.8,\n12\n\n,Orientation vent Ouest Sud Ouest
142,Mercredi 14 Janvier,23:00,1.8 - 2.7,\n12\n\n,Orientation vent Sud Ouest
143,Jeudi 15 Janvier,00:00,1.8 - 2.6,\n12\n\n,Orientation vent Sud Ouest
144,Jeudi 15 Janvier,01:00,1.7 - 2.6,\n11\n\n,Orientation vent Sud Ouest
145,Jeudi 15 Janvier,02:00,1.7 - 2.5,\n9\n\n,Orientation vent Sud Ouest
146,Jeudi 15 Janvier,03:00,1.6 - 2.5,\n9\n\n,Orientation vent Sud
147,Jeudi 15 Janvier,04:00,1.6 - 2.4,\n9\n\n,Orientation vent Sud Est
148,Jeudi 15 Janvier,05:00,1.6 - 2.3,\n10\n\n,Orientation vent Sud Est
149,Jeudi 15 Janvier,06:00,1.5 - 2.3,\n11\n\n,Orientation vent Sud Est
150,Jeudi 15 Janvier,07:00,1.5 - 2.2,\n10\n\n,Orientation vent Sud Est
151,Jeudi 15 Janvier,08:00,1.4 - 2.1,\n7\n\n,Orientation vent Sud Est
152,Jeudi 15 Janvier,09:00,1.4 - 2.1,\n5\n\n,Orientation vent Sud Ouest
153,Jeudi 15 Janvier,10:00,1.3 - 2.0,\n9\n\n,Orientation vent Ouest Sud Ouest
154,Jeudi 15 Janvier,11:00,1.3 - 2.0,\n15\n\n,Orientation vent Ouest
155,Jeudi 15 Janvier,12:00,1.3 - 1.9,\n21\n\n,Orientation vent Ouest
156,Jeudi 15 Janvier,13:00,1.3 - 1.9,\n25\n\n,Orientation vent Ouest
157,Jeudi 15 Janvier,14:00,1.3 - 2.0,\n26\n\n,Orientation vent Ouest
158,Jeudi 15 Janvier,15:00,1.4 - 2.0,\n25\n\n,Orientation vent Ouest
159,Jeudi 15 Janvier,16:00,1.4 - 2.1,\n23\n\n,Orientation vent Ouest
160,Jeudi 15 Janvier,17:00,1.4 - 2.1,\n21\n\n,Orientation vent Ouest
161,Jeudi 15 Janvier,18:00,1.5 - 2.2,\n19\n\n,Orientation vent Ouest
162,Jeudi 15 Janvier,19:00,1.5 - 2.2,\n17\n\n,Orientation vent Ouest
163,Jeudi 15 Janvier,20:00,1.5 - 2.2,\n16\n\n,Orientation vent Ouest Nord Ouest
164,Jeudi 15 Janvier,21:00,1.5 - 2.3,\n16\n\n,Orientation vent Ouest Nord Ouest
165,Jeudi 15 Janvier,22:00,1.5 - 2.3,\n16\n\n,Orientation vent Ouest Nord Ouest
166,Jeudi 15 Janvier,23:00,1.5 - 2.3,\n15\n\n,Orientation vent Ouest Nord Ouest
167,Vendredi 09 Janvier,00:00,N/A,N/A,N/A
168,Samedi 10 Janvier,00:00,N/A,N/A,N/A
169,Dimanche 11 Janvier,00:00,N/A,N/A,N/A
170,Lundi 12 Janvier,00:00,N/A,N/A,N/A
171,Mardi 13 Janvier,00:00,N/A,N/A,N/A
172,Mercredi 14 Janvier,00:00,N/A,N/A,N/A
173,Jeudi 15 Janvier,00:00,N/A,N/A,N/A
